[2016/7/27 - 21:18:51] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/27 - 21:22:01] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/27 - 21:35:55] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/27 - 21:37:25] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/27 - 21:50:21] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/27 - 21:53:40] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/27 - 21:59:55] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/27 - 22:01:36] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 8:08:00] Mike_Pin (ID: 0 | SQL ID: 3 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 8:08:34] Mike_Pin (ID: 0 | SQL ID: 3 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 8:21:48] Charles_Smith (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 8:22:16] Charles_Smith (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 8:26:14] Charles_Smith (ID: 0 | SQL ID: 4 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 8:26:35] Charles_Smith (ID: 0 | SQL ID: 4 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 9:01:44] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 9:03:05] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 9:04:01] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 9:07:28] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 22:26:56] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 22:33:25] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 2 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 22:34:32] Charles_Smith (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 22:36:33] Charles_Smith (ID: 0 | SQL ID: 2 | Level: 3 | IP: 127.0.0.1) has disconnected.
[2016/7/28 - 22:39:20] Charles_Smith (ID: 0 | SQL ID: 2 | Level: 3 | IP: 127.0.0.1) has logged in.
[2016/7/28 - 22:40:13] Charles_Smith (ID: 0 | SQL ID: 2 | Level: 4 | IP: 127.0.0.1) has disconnected.
[2016/7/29 - 7:49:16] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/29 - 7:51:50] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 2 | IP: 127.0.0.1) has disconnected.
[2016/7/29 - 14:01:13] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/29 - 14:08:13] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/29 - 14:28:12] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/29 - 14:29:44] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/29 - 14:36:56] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/29 - 14:42:25] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/29 - 14:50:26] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/29 - 14:53:28] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/30 - 20:59:17] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/30 - 21:03:03] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/30 - 21:13:16] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/30 - 21:20:36] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/30 - 21:26:37] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/30 - 21:29:24] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/30 - 21:32:45] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/30 - 21:34:25] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/30 - 21:40:19] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/30 - 21:42:30] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/30 - 21:44:13] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/31 - 21:22:06] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/31 - 21:23:51] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/31 - 21:44:44] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/31 - 21:52:08] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/7/31 - 21:58:37] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/7/31 - 22:04:56] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 11:06:57] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 11:16:21] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 11:23:39] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
